key,loudness,tempo,duration_ms,playlist_uri
9,-4.011,127.015,175370,0
6,-7.901,166.286,118584,1
7,-5.08,174.401,160185,2
5,-3.579,199.851,163067,0
7,-26.139,81.612,302467,1
8,-5.851,170.015,184543,2
8,-3.99,175.016,177229,2
4,-4.971,99.996,220800,2
3,-5.198,95.774,176903,2
3,-8.538,81.959,142614,1
7,-23.594,89.965,337372,1
7,-5.481,96.532,187897,0
2,-6.921,124.012,333871,1
4,-11.818,103.002,278000,0
11,-11.044,81.98,191642,1
1,-6.428,156.039,176573,0
7,-11.129,89.906,130667,1
6,-5.717,148.013,250413,0
7,-2.461,141.09,192878,2
5,-17.757,116.55,370600,1
7,-3.763,81.999,131707,2
2,-4.027,90.047,181541,2
3,-8.793,79.982,147000,1
0,-13.259,132.959,129067,1
1,-12.048,75.153,205079,1
4,-3.427,89.041,211849,2
2,-3.91,153.712,191907,0
1,-10.403,184.216,302439,1
7,-20.314,131.24,285307,1
3,-33.142,100.741,216213,1
1,-5.248,80.016,159000,2
0,-11.089,184.123,115435,1
11,-22.228,81.079,249027,1
2,-14.407,68.006,155294,1
7,-19.036,62.937,227250,1
11,-4.642,146.025,174658,2
2,-6.651,98.006,193853,2
8,-7.152,123.968,284563,1
5,-3.692,154.022,173936,2
7,-4.244,169.916,441402,2
2,-12.388,123.984,183486,1
2,-8.773,120.025,228493,2
5,-4.702,135.055,269667,2
10,-6.671,152.991,204706,0
0,-1.181,124.076,133548,2
10,-10.515,83.989,119918,1
10,-21.29,75.706,339893,1
3,-10.369,85.001,158118,1
4,-4.006,76.043,188667,0
4,-4.953,128.003,200165,2
2,-31.822,80.507,215800,1
8,-16.155,84.051,105000,1
10,-6.138,175.564,279707,1
11,-3.793,150.99,183160,0
0,-9.965,170.098,90353,1
0,-39.362,86.12,137413,1
0,-15.288,110.234,181733,1
8,-8.728,69.467,242987,0
9,-4.911,144.065,236227,0
0,-13.092,96.84,372015,1
9,-5.084,127.906,256387,2
1,-10.987,165.749,111750,1
0,-13.896,74.996,164375,1
0,-5.233,151.028,143444,2
10,-13.734,80.011,111000,1
11,-7.807,179.995,191187,0
10,-6.002,169.175,167710,2
8,-11.274,122.977,264524,1
4,-3.462,161.876,149713,2
8,-6.61,154.086,177987,0
7,-33.986,110.307,116960,1
5,-5.933,121.834,192800,0
1,-4.258,121.963,186240,0
5,-28.605,81.917,221061,1
2,-5.057,128.008,188587,2
11,-4.387,95.956,205254,2
10,-43.77,78.685,122840,1
1,-16.692,74.154,99452,1
9,-8.03,90.004,175302,1
9,-4.02,111.934,219973,0
11,-33.748,100.482,241804,1
10,-6.929,80.006,149625,1
7,-9.674,134.748,183960,0
5,-4.461,119.075,227840,0
0,-6.526,157.89,170333,0
0,-6.425,179.965,184550,0
11,-6.68,139.158,335560,2
10,-9.921,112.004,157812,1
6,-16.353,111.058,287837,1
2,-3.717,172.024,193773,0
5,-4.121,87.996,160925,2
11,-5.24,93.297,142840,0
1,-3.882,76.481,134640,2
1,-4.196,118.068,242000,1
2,-3.212,179.965,172280,0
2,-10.238,160.102,126000,1
0,-8.884,75.008,208568,1
9,-9.071,122.001,210000,1
1,-3.842,95.01,244365,2
2,-3.943,129.988,168000,2
7,-5.837,127.016,200867,2
4,-20.034,119.904,128000,1
9,-7.254,95.016,244093,2
4,-24.946,143.978,262413,1
7,-4.011,103.005,199515,0
11,-6.819,92.023,158478,2
8,-18.02,118.987,219000,1
9,-13.271,90.013,236373,1
1,-19.85,140.04,155424,1
4,-7.969,103.994,183530,0
2,-10.061,150.011,89600,1
0,-8.07,161.926,168553,2
0,-15.131,113.655,164815,1
7,-12.047,164.049,96585,1
3,-16.996,118.765,293947,1
7,-4.008,144.022,234760,0
0,-12.747,118.02,238000,1
10,-3.982,102.0,282933,0
2,-8.332,119.849,173250,1
8,-11.667,105.939,194440,1
5,-3.993,124.975,149027,2
8,-21.483,77.081,270987,1
2,-10.223,91.006,178838,1
1,-3.196,163.847,176983,0
7,-3.376,101.279,315907,2
0,-13.03,140.418,133840,0
10,-17.352,59.173,250937,1
1,-2.665,139.919,229573,2
1,-11.476,82.066,94987,1
9,-20.767,93.845,363893,1
0,-9.856,188.861,272640,0
2,-6.303,115.049,335333,0
7,-11.644,149.904,129600,1
10,-10.097,93.008,153500,1
4,-25.896,101.965,212040,1
0,-20.731,136.016,151985,1
1,-2.746,89.991,211136,2
7,-12.199,80.002,100793,1
4,-8.901,124.012,206000,1
3,-11.29,80.023,124636,1
11,-11.413,79.918,96000,1
5,-9.48,179.859,187840,0
2,-6.93,171.028,209067,0
1,-28.156,113.79,453147,1
10,-6.846,143.972,194271,0
8,-9.046,120.003,210000,1
6,-8.821,90.899,129231,1
0,-16.111,140.422,191000,1
5,-12.817,98.63,661773,1
8,-5.203,123.997,411024,1
5,-6.778,123.023,285375,1
4,-3.063,149.955,300917,2
9,-10.416,112.97,162298,1
3,-10.316,88.018,132084,1
4,-26.911,125.793,346587,1
2,-10.03,96.01,182763,1
7,-9.796,122.075,125902,2
10,-24.054,83.035,138825,1
2,-19.366,74.273,152827,0
3,-5.761,156.554,150867,2
4,-38.341,104.311,205493,1
10,-15.755,113.94,145075,1
9,-10.36,99.322,126120,0
11,-13.975,114.043,252213,1
6,-8.015,175.954,174838,0
8,-15.333,77.973,172009,1
4,-6.15,144.022,230227,0
7,-4.452,101.183,209133,2
0,-8.148,75.425,126429,1
7,-9.195,80.961,214707,1
6,-3.705,163.005,151250,2
10,-3.364,148.0,208960,0
9,-5.537,124.708,213702,0
0,-6.879,74.281,75000,1
2,-7.365,115.642,152187,0
9,-12.703,171.968,271160,0
0,-11.519,89.988,144000,1
4,-3.078,98.945,197880,0
2,-5.055,127.024,229400,0
