key,loudness,tempo,duration_ms,playlist_uri
1,-4.674,88.641,304600,0
7,-4.293,142.034,150528,0
0,-10.403,100.107,336000,1
7,-4.573,117.128,193856,0
2,-8.894,100.045,180000,1
10,-15.014,81.003,241480,1
5,-17.434,125.009,201456,1
11,-2.345,150.037,156800,0
11,-5.479,141.853,230697,0
1,-2.852,144.943,230418,0
1,-5.932,124.995,269193,0
7,-15.826,135.977,231589,1
8,-7.829,86.318,174133,0
7,-9.584,188.052,255347,1
7,-7.546,120.037,184240,1
0,-4.706,135.702,260000,0
7,-15.952,165.999,234217,1
11,-16.609,140.002,246428,1
1,-5.561,102.018,211777,0
9,-13.91,135.006,348449,1
0,-12.966,174.008,231724,1
6,-15.348,80.087,273000,1
1,-5.439,127.959,226875,0
3,-4.663,124.034,150968,0
8,-6.149,136.953,214883,0
0,-10.69,89.987,233333,1
8,-3.194,123.979,225002,0
2,-8.313,199.873,225600,1
7,-3.37,130.049,243837,0
0,-7.063,113.003,242253,0
7,-6.369,100.007,219000,1
8,-6.33,123.885,173810,0
6,-1.089,140.041,206960,0
8,-4.474,109.993,157159,0
6,-6.349,97.062,210368,0
1,-8.923,142.026,209577,1
4,-9.961,74.082,211200,1
6,-4.21,127.992,294467,0
0,-4.477,90.083,206120,0
1,-6.849,179.911,245187,0
1,-3.534,128.121,190267,0
10,-17.53,70.72,248249,1
11,-3.964,176.618,275227,0
8,-4.876,144.039,180333,0
0,-5.545,202.015,192471,0
1,-5.948,93.281,307773,0
7,-5.511,125.872,156320,0
1,-6.664,139.913,185947,0
6,-9.338,131.025,267000,1
2,-6.457,170.193,225987,0
9,-6.965,110.035,198000,1
6,-7.499,174.049,293793,1
11,-4.424,101.033,212773,0
5,-3.226,127.961,211975,0
11,-3.359,169.987,217373,0
0,-16.991,100.015,234862,1
5,-11.685,77.009,180779,1
9,-2.853,98.994,178480,0
